[WARN] [02:09:08] ⚠️   RAM: 72% مستخدم (1003MB من 3626MB متاح)
[WARN] [02:09:12] ⚠️   Git snapshot: Command failed: git commit -m "🤖 pre-heal state [$(date '+%
[INFO] [02:09:12] ℹ️   حجم .next: 32MB
[SUCCESS] [02:09:15] ✅  .next.snapshot.tar.gz (32MB) محفوظ
[SUCCESS] [02:09:15] ✅  .next cache: تم التنظيف
[SUCCESS] [02:09:15] ✅  هيكل src/app/ صحيح
[SUCCESS] [02:09:15] ✅  اكتمل العلاج الذاتي ✓
[WARN] [02:09:15] ⚠️   RAM: 71% مستخدم (1062MB من 3626MB متاح)
[SUCCESS] [02:09:15] ✅  next: ^15.1.3
[SUCCESS] [02:09:15] ✅  react: ^18.2.0
[SUCCESS] [02:09:15] ✅  @supabase/supabase-js: ^2.101.0
[SUCCESS] [02:09:15] ✅  node_modules: ✓
[INFO] [02:09:15] ℹ️   فحص ملفات البيئة (.env.local)...
[SUCCESS] [02:09:15] ✅  نسخة احتياطية: .env.local.bak
[SUCCESS] [02:09:15] ✅  NEXT_PUBLIC_SUPABASE_URL: ✓
[SUCCESS] [02:09:15] ✅  NEXT_PUBLIC_SUPABASE_ANON_KEY: ✓
[SUCCESS] [02:09:16] ✅  Supabase: متصل (HTTP 401)
[SUCCESS] [02:09:16] ✅  Tailwind v4: صيغة صحيحة ✓
[SUCCESS] [02:09:16] ✅  هيكل src/app/ صحيح
[SUCCESS] [02:09:16] ✅  المنصة جاهزة للإقلاع 🚀
[SUCCESS] [02:09:16] ✅  المنفذ 3000 متاح
[SYSTEM] [02:09:16] 🧠  تشغيل الخادم (جاهزية: 100%)...
[WARN] [02:21:33] ⚠️   RAM: 76% مستخدم (870MB من 3626MB متاح)
[WARN] [02:21:42] ⚠️   Git snapshot: Command failed: git commit -m "🤖 pre-heal state [$(date '+%
[INFO] [02:21:42] ℹ️   حجم .next: 0MB
[SUCCESS] [02:21:42] ✅  .next.snapshot.tar.gz (0MB) محفوظ
[SUCCESS] [02:21:42] ✅  .next cache: تم التنظيف
[SUCCESS] [02:21:42] ✅  هيكل src/app/ صحيح
[SUCCESS] [02:21:42] ✅  اكتمل العلاج الذاتي ✓
[WARN] [02:21:42] ⚠️   RAM: 74% مستخدم (941MB من 3626MB متاح)
[SUCCESS] [02:21:42] ✅  next: ^15.1.3
[SUCCESS] [02:21:42] ✅  react: ^18.2.0
[SUCCESS] [02:21:42] ✅  @supabase/supabase-js: ^2.101.0
[SUCCESS] [02:21:42] ✅  node_modules: ✓
[INFO] [02:21:42] ℹ️   فحص ملفات البيئة (.env.local)...
